,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,
,,Electorate ,Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots returned by close of poll,Total participation turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes returned by post as undelivered ,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',,PV statement rejected (No signature) ,PV statement rejected (No DoB),PV statement rejected (Both) ,PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB) ,PV statement rejected (Mismatched both),Ballot paper not returned one figure for each authority,Postal voting statement unreturned one figure for each authority,,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,What was the total number of polling stations used?,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mets,,"8,422,796","5,173,271",61.42,"5,144,104",61.07,"5,226,806",62.06,,565,"4,091",531,"23,860",51,"29,167",,"1,548,458","1,310,455","5,742","4,367","1,250,879","8,968","21,572","1,256,813","32,156",,"2,039","1,236","3,992","8,089","7,876","4,989","6,540","4,728",,"14,040",807,"6,489","5,723",,
Unitaries,,"7,169,136","4,524,507",63.11,"4,484,031",62.55,"4,568,440",63.72,,"1,165","4,588",615,"31,840",474,"40,476",,"1,144,251","969,681","3,881","3,589","861,289","5,852","17,932","925,737","32,933",,"1,977","1,228","2,619","8,508","6,269","2,729","6,108","5,530",,"20,637","1,354","5,864","5,390",,
Districts,,"14,652,632","9,844,590",67.19,"9,732,620",66.42,"9,909,439",67.63,,"1,586","8,885","1,670","89,333","1,257","111,970",,"2,395,296","2,035,674","7,691","11,194","1,771,026","36,493","27,506","1,968,792","43,495",,"2,938","2,234","7,225","12,179","9,867","4,850","9,211","9,550",,"51,928","2,885","15,963","14,197",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English locals ,,"30,244,564","19,542,369",64.61,"19,360,756",64.01,"19,704,686",65.15,,"3,316","17,564","2,816","145,033","1,782","181,613",,"5,088,005","4,315,810","17,314","19,150","3,883,194","51,313","67,010","4,151,342","108,584",,"6,954","4,698","13,836","28,776","24,012","12,568","21,859","19,808",,"86,605","5,046","28,316","25,310",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
